week,year,week_year,climate_type,avg_value,measurement_count,std_value,min_value,max_value,first_date,last_date
35,2021,2021_W35,Ammonia,13.535,6716,5.368,3.2,30.0,2021-08-30,2021-09-05
35,2021,2021_W35,CO2-01,2090.909,6716,471.264,412.4,4994.6,2021-08-30,2021-09-05
35,2021,2021_W35,Hum-01,73.679,6716,3.584,64.9,85.3,2021-08-30,2021-09-05
35,2021,2021_W35,Temp-01,26.746,6716,1.59,21.7,32.2,2021-08-30,2021-09-05
36,2021,2021_W36,Ammonia,10.284,6702,4.375,2.2,26.8,2021-09-06,2021-09-12
36,2021,2021_W36,CO2-01,1960.849,6702,316.441,1140.2,3018.9,2021-09-06,2021-09-12
36,2021,2021_W36,Hum-01,70.952,6702,2.995,61.8,80.4,2021-09-06,2021-09-12
36,2021,2021_W36,Temp-01,27.961,6702,1.134,24.8,31.2,2021-09-06,2021-09-12
37,2021,2021_W37,Ammonia,13.292,6718,4.077,3.9,27.8,2021-09-13,2021-09-19
37,2021,2021_W37,CO2-01,2243.23,6718,324.572,1353.1,3212.9,2021-09-13,2021-09-19
37,2021,2021_W37,Hum-01,73.073,6718,2.857,67.3,82.7,2021-09-13,2021-09-19
37,2021,2021_W37,Temp-01,27.08,6718,0.849,24.5,29.3,2021-09-13,2021-09-19
38,2021,2021_W38,Ammonia,15.332,6714,4.049,5.4,27.8,2021-09-20,2021-09-26
38,2021,2021_W38,CO2-01,2411.734,6714,383.341,1320.8,4037.7,2021-09-20,2021-09-26
38,2021,2021_W38,Hum-01,72.374,6714,3.379,66.6,83.0,2021-09-20,2021-09-26
38,2021,2021_W38,Temp-01,26.522,6714,0.892,23.7,28.9,2021-09-20,2021-09-26
39,2021,2021_W39,Ammonia,18.602,6716,4.145,6.8,30.2,2021-09-27,2021-10-03
39,2021,2021_W39,CO2-01,2515.896,6716,381.395,1477.1,3679.2,2021-09-27,2021-10-03
39,2021,2021_W39,Hum-01,73.495,6716,3.069,68.9,83.7,2021-09-27,2021-10-03
39,2021,2021_W39,Temp-01,26.19,6716,0.723,24.3,28.5,2021-09-27,2021-10-03
40,2021,2021_W40,Ammonia,22.877,6718,4.436,10.7,34.5,2021-10-04,2021-10-10
40,2021,2021_W40,CO2-01,2861.747,6718,370.608,1832.9,4269.5,2021-10-04,2021-10-10
40,2021,2021_W40,Hum-01,73.433,6718,3.169,68.2,85.6,2021-10-04,2021-10-10
40,2021,2021_W40,Temp-01,25.632,6718,0.715,23.2,27.4,2021-10-04,2021-10-10
41,2021,2021_W41,Ammonia,23.255,6716,4.467,11.6,39.8,2021-10-11,2021-10-17
41,2021,2021_W41,CO2-01,2858.579,6716,346.235,1970.3,4132.1,2021-10-11,2021-10-17
41,2021,2021_W41,Hum-01,72.057,6716,2.744,68.4,82.0,2021-10-11,2021-10-17
41,2021,2021_W41,Temp-01,25.423,6716,0.592,23.1,26.8,2021-10-11,2021-10-17
42,2021,2021_W42,Ammonia,24.197,6716,6.561,10.7,43.5,2021-10-18,2021-10-24
42,2021,2021_W42,CO2-01,2766.526,6716,568.612,1609.2,4231.8,2021-10-18,2021-10-24
42,2021,2021_W42,Hum-01,71.591,6716,2.486,68.6,82.3,2021-10-18,2021-10-24
42,2021,2021_W42,Temp-01,25.336,6716,0.762,23.1,27.0,2021-10-18,2021-10-24
43,2021,2021_W43,Ammonia,24.259,6718,5.629,10.9,40.6,2021-10-25,2021-10-31
43,2021,2021_W43,CO2-01,2527.617,6718,427.062,1458.2,4285.7,2021-10-25,2021-10-31
43,2021,2021_W43,Hum-01,71.025,6718,2.638,65.7,85.5,2021-10-25,2021-10-31
43,2021,2021_W43,Temp-01,25.435,6718,0.548,23.6,26.8,2021-10-25,2021-10-31
44,2021,2021_W44,Ammonia,29.29,6712,6.402,11.8,49.0,2021-11-01,2021-11-07
44,2021,2021_W44,CO2-01,3030.42,6712,549.322,1730.5,4738.5,2021-11-01,2021-11-07
44,2021,2021_W44,Hum-01,70.86,6712,2.926,65.7,82.3,2021-11-01,2021-11-07
44,2021,2021_W44,Temp-01,24.899,6712,0.631,23.5,26.3,2021-11-01,2021-11-07
45,2021,2021_W45,Ammonia,30.62,6718,7.674,13.0,51.6,2021-11-08,2021-11-14
45,2021,2021_W45,CO2-01,3132.385,6718,613.472,1679.2,4967.7,2021-11-08,2021-11-14
45,2021,2021_W45,Hum-01,70.235,6718,3.245,64.4,81.0,2021-11-08,2021-11-14
45,2021,2021_W45,Temp-01,24.723,6718,0.818,22.5,26.2,2021-11-08,2021-11-14
46,2021,2021_W46,Ammonia,34.318,6716,6.435,15.1,51.1,2021-11-15,2021-11-21
46,2021,2021_W46,CO2-01,3119.58,6716,567.677,1865.2,5407.0,2021-11-15,2021-11-21
46,2021,2021_W46,Hum-01,69.994,6716,2.939,64.4,82.6,2021-11-15,2021-11-21
46,2021,2021_W46,Temp-01,25.189,6716,0.606,23.1,26.7,2021-11-15,2021-11-21
47,2021,2021_W47,Ammonia,45.876,6714,9.93,24.6,73.8,2021-11-22,2021-11-28
47,2021,2021_W47,CO2-01,3404.916,6714,443.748,2312.7,5490.6,2021-11-22,2021-11-28
47,2021,2021_W47,Hum-01,71.244,6714,3.986,64.9,84.3,2021-11-22,2021-11-28
47,2021,2021_W47,Temp-01,23.675,6714,1.281,20.1,25.8,2021-11-22,2021-11-28
48,2021,2021_W48,Ammonia,48.363,6720,10.582,23.4,75.4,2021-11-29,2021-12-05
48,2021,2021_W48,CO2-01,3276.483,6720,462.06,1886.8,5242.6,2021-11-29,2021-12-05
48,2021,2021_W48,Hum-01,71.353,6720,4.839,62.9,83.0,2021-11-29,2021-12-05
48,2021,2021_W48,Temp-01,22.951,6720,1.301,20.0,25.2,2021-11-29,2021-12-05
49,2021,2021_W49,Ammonia,43.91,6714,11.103,20.4,74.3,2021-12-06,2021-12-12
49,2021,2021_W49,CO2-01,2647.193,6714,685.034,1218.3,4970.4,2021-12-06,2021-12-12
49,2021,2021_W49,Hum-01,67.519,6714,5.612,57.8,80.7,2021-12-06,2021-12-12
49,2021,2021_W49,Temp-01,21.936,6714,1.262,19.2,25.0,2021-12-06,2021-12-12
50,2021,2021_W50,Ammonia,36.775,1918,9.529,19.6,59.1,2021-12-13,2021-12-14
50,2021,2021_W50,CO2-01,1599.549,1918,484.934,633.4,2997.3,2021-12-13,2021-12-14
50,2021,2021_W50,Hum-01,67.172,1918,4.107,61.6,79.7,2021-12-13,2021-12-14
50,2021,2021_W50,Temp-01,20.621,1918,1.749,15.4,23.5,2021-12-13,2021-12-14
